"last_name, first_name",player_id,year,pa,b_out_fly,b_out_ground,b_out_line_drive
"Cameron, Daz",663662,2024,186,28,45,11
"Mendick, Danny",664901,2024,141,24,29,9
"Kreidler, Ryan",668952,2024,65,10,16,3
"Díaz, Aledmys",649557,2024,34,5,11,3
"Blackmon, Charlie",453568,2024,499,73,102,38
"Alvarez, Eddy",657193,2024,11,1,5,1
"Alcantara, Kevin",682634,2024,10,1,7,0
"Wilson Jr., Jacob",805779,2024,103,12,37,9
"Peterson, Jace",607054,2024,26,0,13,2
"Mayo, Coby",691723,2024,46,3,8,4
"Collins, Isaac",686555,2024,19,2,1,1
"Yelich, Christian",592885,2024,315,27,80,15
"Kepler, Max",596146,2024,399,72,67,34
"Matos, Luis",682641,2024,156,33,38,11
"Yorke, Nick",694377,2024,42,4,11,3
"Encarnacion, Jerar",666464,2024,119,11,34,6
"Tena, José",677588,2024,168,22,41,7
"Wisdom, Patrick",621550,2024,174,33,21,7
"Suzuki, Seiya",673548,2024,585,94,72,24
"Burger, Jake",669394,2024,579,76,123,27
"Semien, Marcus",543760,2024,718,132,161,57
"Stowers, Kyle",669065,2024,209,19,43,9
"Vázquez, Christian",543877,2024,315,53,80,20
"Soderstrom, Tyler",691016,2024,213,28,54,5
"Kelly, Carson",608348,2024,313,50,78,15
"Neto, Zach",687263,2024,602,83,140,21
"Naylor, Bo",666310,2024,389,54,64,18
"Diaz, Yainer",673237,2024,619,65,191,32
"Hernández, Teoscar",606192,2024,652,62,127,33
"Vilade, Ryan",668723,2024,49,6,17,4
"Stewart, DJ",621466,2024,194,32,31,8
"Carpenter, Kerry",681481,2024,296,42,56,8
"Ohtani, Shohei",660271,2024,731,88,124,43
"Machado, Manny",592518,2024,643,76,150,42
"Rodgers, Brendan",663898,2024,539,43,156,27
"Abrams, CJ",682928,2024,602,84,124,41
"Marte, Ketel",606466,2024,583,66,146,27
"Profar, Jurickson",595777,2024,668,90,155,33
"Thomas, Lane",657041,2024,528,67,98,23
"Reetz, Jakson",656883,2024,15,3,4,0
"Baddoo, Akil",668731,2024,82,12,14,3
"Renfroe, Hunter",592669,2024,424,61,91,24
"Amaya, Jacob",676070,2024,72,6,16,5
"Serven, Brian",661531,2024,71,7,13,4
"Bethancourt, Christian",542194,2024,147,25,37,6
"Adams, Riley",656180,2024,130,13,31,4
"Young, Jacob",696285,2024,521,48,155,37
"Friedl Jr., TJ",670770,2024,341,55,73,29
"Smith, Will",669257,2024,544,115,94,34
"Taylor, Chris",621035,2024,246,22,47,16
"Feduccia, Hunter",676439,2024,14,2,3,1
"Polanco, Jorge",593871,2024,468,69,76,31
"Peraza, Oswald",672724,2024,11,0,3,1
"Zavala, Seby",664874,2024,43,5,8,3
"Hicks, Aaron",543305,2024,63,3,17,3
"Duvall, Adam",594807,2024,330,54,48,15
"Sánchez, Jesús",660821,2024,537,55,133,28
"Hiura, Keston",669374,2024,27,0,9,3
"Pham, Tommy",502054,2024,478,59,115,30
"Brennan, Will",686823,2024,353,58,94,23
"Singleton, Jon",572138,2024,405,59,74,16
"Burleson, Alec",676475,2024,595,98,154,47
"Bauers, Jake",641343,2024,346,49,39,17
"Ortiz, Joey",687401,2024,511,56,123,26
"Rutschman, Adley",668939,2024,638,119,128,47
"Johnson, Bryce",669369,2024,73,8,25,7
"Lee, Jung Hoo",808982,2024,158,28,45,16
"Goodrum, Niko",592348,2024,33,1,15,1
"Díaz, Yandy",650490,2024,621,68,197,23
"Campusano, Luis",669134,2024,299,47,91,17
"Stefanic, Michael",683021,2024,124,12,40,11
"Walls, Taylor",670764,2024,252,40,43,12
"Garver, Mitch",641598,2024,430,54,69,26
"Ruiz, Keibert",660688,2024,485,97,119,41
"Harris II, Michael",671739,2024,470,50,128,28
"DeJong, Paul",657557,2024,482,69,73,18
"Lukes, Nathan",664770,2024,91,14,25,5
"Arraez, Luis",650333,2024,672,129,199,51
"Larnach, Trevor",663616,2024,400,55,83,28
"Jiménez, Eloy",650391,2024,349,36,109,16
"Stubbs, Garrett",596117,2024,187,27,28,15
"Paris, Kyren",677347,2024,59,6,16,6
"Castro, Willi",650489,2024,635,84,119,48
"DeLuca, Jonny",676356,2024,362,47,74,27
"Blanco, Dairon",680118,2024,132,18,28,8
"Schanuel, Nolan",694384,2024,607,72,157,50
"Garcia, Maikel",672580,2024,626,80,192,57
"Kemp, Tony",643393,2024,10,1,4,1
"Jordan, Levi",682119,2024,11,2,4,1
"Iglesias, Jose",578428,2024,291,34,77,20
"Bliss, Ryan",669208,2024,71,7,17,3
"Ahmed, Nick",605113,2024,228,28,57,11
"Nuñez, Nasim",683083,2024,78,2,24,6
"Herrera, Jose",645444,2024,114,12,35,4
"Madrigal, Nick",663611,2024,94,10,36,8
"Edwards, Xavier",669364,2024,303,32,78,16
"Wiemer Jr., Joey",686894,2024,28,3,6,0
"Doyle, Brenton",686668,2024,603,86,118,37
"Kessinger, Grae",666197,2024,25,4,7,2
"Bichette, Bo",666182,2024,336,37,93,38
"Rafaela, Ceddanne",678882,2024,571,74,129,25
"Hilliard, Sam",656541,2024,158,16,28,6
"Cook, Billy",695257,2024,49,5,4,3
"Millas, Drew",686452,2024,62,8,15,4
"Murphy, Sean",669221,2024,264,30,72,9
"Santana, Carlos",467793,2024,594,94,124,35
"Stott, Bryson",681082,2024,571,93,132,42
"Rogers, Jake",668670,2024,337,56,68,16
"Laureano, Ramón",657656,2024,309,39,53,19
"Barger, Addison",680718,2024,225,32,50,13
"Freeman, Tyler",671289,2024,383,57,102,32
"Seager, Corey",608369,2024,533,86,110,41
"Bart, Joey",663698,2024,282,28,68,9
"Wall, Forrest",657088,2024,35,8,6,2
"Caratini, Victor",605170,2024,274,35,73,16
"Robert Jr., Luis",673357,2024,425,54,71,23
